 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: example5
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
    244   0            1.44864426e+000    5.01509375e+001    4.87022933e+001 
    245   1           -9.74535578e+000    5.19697245e+001    6.17150802e+001 
    246   1           -2.17970132e+001    4.99338030e+001    7.17308162e+001 
    247   1           -2.77771862e+000    6.01658161e+001    6.29435347e+001 
    248   0            7.28568950e+000    5.87243962e+001    5.14387067e+001 
    249   1           -1.30670578e+001    5.61472484e+001    6.92143062e+001 
    250   1           -4.08393696e+000    5.72199627e+001    6.13038997e+001 
    251   1           -7.76907993e+000    5.72906831e+001    6.50597630e+001 
    252   1           -2.45685471e+000    5.59706816e+001    5.84275363e+001 
    253   1           -1.33436106e+001    5.97825204e+001    7.31261309e+001 
    254   1           -1.08941341e+001    5.04054802e+001    6.12996144e+001 
    255   1           -6.88245877e+000    5.55992013e+001    6.24816600e+001 
    256   1           -7.39006216e+000    5.23893320e+001    5.97793942e+001 
    257   1           -3.39325577e+001    5.61148380e+001    9.00473956e+001 
    258   1           -1.38243968e+001    5.28962284e+001    6.67206252e+001 
    259   0            3.43489153e+000    5.51923028e+001    5.17574112e+001 
    260   1           -1.39138861e+001    5.34560744e+001    6.73699606e+001 
    261   1           -4.52896987e+001    6.43801067e+001    1.09669805e+002 
    262   1           -2.57046594e+001    5.26917031e+001    7.83963625e+001 
    263   1           -7.35648294e+000    5.82267986e+001    6.55832816e+001 
    264   1           -1.18137888e+001    5.28427752e+001    6.46565640e+001 
    265   1           -1.85212766e+001    4.27211086e+001    6.12423851e+001 
    266   1           -2.37932145e+001    5.23560616e+001    7.61492761e+001 
    267   1           -1.29249182e+001    4.50528254e+001    5.79777436e+001 
    268   0            4.68552791e+000    5.13899367e+001    4.67044088e+001 
    269   0            5.52899260e+000    5.67887962e+001    5.12598036e+001 
    270   1           -1.31343097e+001    5.32885798e+001    6.64228895e+001 
    271   1           -1.33864122e+000    5.44770513e+001    5.58156925e+001 
    272   1           -6.46580151e+000    6.17894772e+001    6.82552787e+001 
    273   1           -1.30450877e+001    5.60775230e+001    6.91226107e+001 
    274   1           -3.10085205e+001    5.20057338e+001    8.30142542e+001 
    275   1           -7.08825230e+000    4.72952899e+001    5.43835422e+001 
    276   1           -8.52821632e+000    5.11784341e+001    5.97066504e+001 
    277   0            2.87006756e+000    5.57081772e+001    5.28381096e+001 
    278   1           -4.01023644e-001    5.20284133e+001    5.24294370e+001 
    279   1           -5.77811786e+000    5.71041736e+001    6.28822915e+001 
    280   0            9.94864203e+000    6.05958148e+001    5.06471727e+001 
    281   1           -9.79777586e+000    5.66506179e+001    6.64483937e+001 
    282   1           -3.34058275e+001    5.17834161e+001    8.51892436e+001 
    283   0            9.97543759e+000    6.50368868e+001    5.50614492e+001 
    284   1           -1.63429871e+001    5.86371753e+001    7.49801624e+001 
    285   1           -8.96835385e-001    5.91594204e+001    6.00562558e+001 
    286   1           -1.66254334e+001    5.87344591e+001    7.53598925e+001 
    287   1           -2.16404584e+001    5.87167492e+001    8.03572076e+001 
    288   0            3.20722408e+000    6.60837211e+001    6.28764971e+001 
    289   1           -1.30556764e+001    6.02018502e+001    7.32575266e+001 
    290   1           -3.78564187e+000    5.38690621e+001    5.76547039e+001 
    291   1           -3.16590528e+001    5.13607338e+001    8.30197866e+001 
    292   1           -1.09696246e+001    5.58614992e+001    6.68311237e+001 
    293   0            3.45679238e+000    5.75362512e+001    5.40794588e+001 
    294   1           -3.13639555e+000    5.45263723e+001    5.76627678e+001 
    295   1           -1.36271029e+001    5.34971799e+001    6.71242828e+001 
    296   1           -3.88671476e+001    6.03494200e+001    9.92165676e+001 
    297   1           -9.13727826e+000    5.22213650e+001    6.13586433e+001 
    298   1           -3.39054195e+001    5.63838766e+001    9.02892961e+001 
    299   1           -1.67787310e+001    4.75082555e+001    6.42869865e+001 
    300   1           -1.24705182e+001    5.28959886e+001    6.53665067e+001 
    301   0            1.13173209e+001    5.70798678e+001    4.57625468e+001 
    302   1           -3.41396681e+001    5.68803801e+001    9.10200482e+001 
    303   0            1.09781894e+001    5.82175232e+001    4.72393338e+001 
    304   1           -3.15851702e+001    5.78920148e+001    8.94771850e+001 
    305   1           -1.22026584e+001    5.91349073e+001    7.13375657e+001 
    306   1           -3.48912469e+001    5.24498727e+001    8.73411195e+001 
    307   0            4.40998668e+000    5.50710774e+001    5.06610907e+001 
    308   1           -3.96736105e+001    5.14091900e+001    9.10828005e+001 
    309   1           -9.13691238e+000    5.83433103e+001    6.74802227e+001 
    310   1           -9.88950038e+000    5.43806369e+001    6.42701373e+001 
    311   0            7.98613254e+000    5.95122797e+001    5.15261471e+001 
    312   1           -1.07093254e+001    4.78971846e+001    5.86065099e+001 
    313   0            1.03706285e+000    5.24512297e+001    5.14141669e+001 
    314   1           -1.88160264e+001    5.35786570e+001    7.23946833e+001 
    315   0            1.85291813e+000    5.24210863e+001    5.05681681e+001 
    316   0            8.32477566e+000    5.56269428e+001    4.73021671e+001 
    317   0            1.19519589e+001    6.91405979e+001    5.71886390e+001 
    318   1           -3.44080747e+001    5.08810042e+001    8.52890789e+001 
    319   1           -2.44703771e+001    4.62700256e+001    7.07404027e+001 
    320   1           -2.46911965e+001    4.79497992e+001    7.26409957e+001 
    321   1           -2.61416165e+000    5.17507876e+001    5.43649493e+001 
    322   0            1.43068333e+001    6.17104797e+001    4.74036464e+001 
    323   1           -9.94320560e-001    5.98390435e+001    6.08333640e+001 
    324   1           -2.63314019e+001    5.78823844e+001    8.42137863e+001 
    325   1           -1.68870449e+001    5.28835773e+001    6.97706222e+001 
    326   0            6.24517238e+000    5.20513203e+001    4.58061479e+001 
    327   1           -1.07283495e+001    5.47436623e+001    6.54720118e+001 
