 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
    295   1           -1.52874301e+001    5.34971799e+001    6.87846100e+001 
    296   1           -4.13212813e+001    6.03494200e+001    1.01670701e+002 
    297   1           -1.06549917e+001    5.22213650e+001    6.28763567e+001 
    298   1           -3.61387361e+001    5.63838766e+001    9.25226127e+001 
    299   1           -1.83688773e+001    4.75082555e+001    6.58771328e+001 
    300   1           -1.40873666e+001    5.28959886e+001    6.69833551e+001 
    301   0            1.01853788e+001    5.70798678e+001    4.68944889e+001 
    302   1           -3.63910599e+001    5.68803801e+001    9.32714400e+001 
    303   0            9.80971877e+000    5.82175232e+001    4.84078044e+001 
    304   1           -3.37983991e+001    5.78920148e+001    9.16904139e+001 
    305   1           -1.39672017e+001    5.91349073e+001    7.31021090e+001 
    306   1           -3.70516399e+001    5.24498727e+001    8.95015126e+001 
    307   0            3.15687852e+000    5.50710774e+001    5.19141989e+001 
    308   1           -4.19265545e+001    5.14091900e+001    9.33357445e+001 
    309   1           -1.08060438e+001    5.83433103e+001    6.91493541e+001 
    310   1           -1.14792299e+001    5.43806369e+001    6.58598668e+001 
    311   0            6.71162711e+000    5.95122797e+001    5.28006526e+001 
    312   1           -1.21589644e+001    4.78971846e+001    6.00561490e+001 
    313   1           -2.34672733e-001    5.24512297e+001    5.26859024e+001 
    314   1           -2.06067175e+001    5.35786570e+001    7.41853745e+001 
    315   0            6.02108429e-001    5.24210863e+001    5.18189778e+001 
    316   0            7.15475088e+000    5.56269428e+001    4.84721919e+001 
    317   0            1.05373911e+001    6.91405979e+001    5.86032068e+001 
    318   1           -3.65177103e+001    5.08810042e+001    8.73987145e+001 
    319   1           -2.62201495e+001    4.62700256e+001    7.24901750e+001 
    320   1           -2.64879803e+001    4.79497992e+001    7.44377794e+001 
    321   1           -3.95888519e+000    5.17507876e+001    5.57096728e+001 
    322   0            1.31342985e+001    6.17104797e+001    4.85761812e+001 
    323   1           -2.49904112e+000    5.98390435e+001    6.23380846e+001 
    324   1           -2.84144400e+001    5.78823844e+001    8.62968244e+001 
    325   1           -1.86128296e+001    5.28835773e+001    7.14964069e+001 
    326   0            5.11215181e+000    5.20513203e+001    4.69391685e+001 
    327   1           -1.23478076e+001    5.47436623e+001    6.70914699e+001 
    328   1           -2.19014270e+001    5.34004414e+001    7.53018683e+001 
    329   1           -1.26429647e+001    6.27195101e+001    7.53624748e+001 
    330   0            5.70341501e-001    4.63526576e+001    4.57823161e+001 
    331   1           -2.19410944e+001    5.77845802e+001    7.97256746e+001 
    332   1           -5.51314714e+000    6.13372924e+001    6.68504395e+001 
    333   1           -2.52999943e+000    5.51214666e+001    5.76514660e+001 
    334   1           -2.06354588e+001    5.86255794e+001    7.92610382e+001 
